Quarter,Product,Wafers
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q1 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q2 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q3 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q4 97,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q1 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q2 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q3 98,21A,4300.0
Q4 98,21A,4300.0
Q4 98,21A,4300.0
Q4 98,21A,4300.0
Q4 98,21A,4300.0
Q4 98,21A,4300.0
Q4 98,21A,4300.0
Q4 98,21A,4300.0
Q4 98,21A,4200.0
Q4 98,21A,4100.0
Q4 98,21A,4000.0
Q4 98,21A,3900.0
Q4 98,21A,3800.0
Q4 98,21A,3700.0
Q1 99,21A,4000.0
Q1 99,21A,4000.0
Q1 99,21A,4000.0
Q1 99,21A,4130.0
Q1 99,21A,4930.0
Q1 99,21A,4900.0
Q1 99,21A,4000.0
Q1 99,21A,4000.0
Q1 99,21A,4000.0
Q1 99,21A,4000.0
Q1 99,21A,4000.0
Q1 99,21A,4000.0
Q1 99,21A,4000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q2 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q3 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q4 99,21A,5000.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q1 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q2 00,21A,4300.0
Q3 00,21A,4300.0
Q3 00,21A,4300.0
Q3 00,21A,4300.0
Q3 00,21A,4300.0
Q3 00,21A,4300.0
Q3 00,21A,4300.0
Q3 00,21A,4300.0
Q3 00,21A,4300.0
Q3 00,21A,4200.0
Q3 00,21A,4100.0
Q3 00,21A,4000.0
Q3 00,21A,3900.0
Q3 00,21A,3800.0
Q4 00,21A,3700.0
Q4 00,21A,4000.0
Q4 00,21A,4000.0
Q4 00,21A,4000.0
Q4 00,21A,4130.0
Q4 00,21A,4930.0
Q4 00,21A,4900.0
Q4 00,21A,4000.0
Q4 00,21A,4000.0
Q4 00,21A,4000.0
Q4 00,21A,4000.0
Q4 00,21A,4000.0
Q4 00,21A,4000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q1 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q2 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q3 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q4 01,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q1 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q2 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q3 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q4 02,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q1 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q2 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q3 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q4 03,21A,5000.0
Q3 95,22B,4000.0
Q3 95,22B,4000.0
Q3 95,22B,4000.0
Q3 95,22B,4000.0
Q3 95,22B,4000.0
Q3 95,22B,4016.0
Q3 95,22B,4316.0
Q3 95,22B,4416.0
Q3 95,22B,4545.0
Q3 95,22B,4000.0
Q3 95,22B,4000.0
Q3 95,22B,4000.0
Q3 95,22B,4000.0
Q4 95,22B,350
Q4 95,22B,350
Q4 95,22B,1465
Q4 95,22B,910
Q4 95,22B,350
Q4 95,22B,350
Q4 95,22B,350
Q4 95,22B,350
Q4 95,22B,910
Q4 95,22B,350
Q4 95,22B,3500
Q4 95,22B,2940
Q4 95,22B,2380
Q1 96,22B,3270
Q1 96,22B,2710
Q1 96,22B,2150
Q1 96,22B,1590
Q1 96,22B,1030
Q1 96,22B,470
Q1 96,22B,1575
Q1 96,22B,1025
Q1 96,22B,4000
Q1 96,22B,4000
Q1 96,22B,4000
Q1 96,22B,4000
Q1 96,22B,4000
Q2 96,22B,350
Q2 96,22B,350
Q2 96,22B,1470
Q2 96,22B,910
Q2 96,22B,350
Q2 96,22B,350
Q2 96,22B,350
Q2 96,22B,350
Q2 96,22B,2305
Q2 96,22B,1745
Q2 96,22B,4000
Q2 96,22B,3995
Q2 96,22B,3440
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q3 96,22B,2500.0
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q4 96,22B,2500
Q1 97,22B,2500
Q1 97,22B,1940
Q1 97,22B,2165
Q1 97,22B,1605
Q1 97,22B,1045
Q1 97,22B,485
Q1 97,22B,910
Q1 97,22B,350
Q1 97,22B,2500
Q1 97,22B,2500
Q1 97,22B,2500
Q1 97,22B,2500
Q1 97,22B,2500
Q2 97,22B,1395
Q2 97,22B,845
Q2 97,22B,2030
Q2 97,22B,1470
Q2 97,22B,910
Q2 97,22B,350
Q2 97,22B,910
Q2 97,22B,350
Q2 97,22B,2500
Q2 97,22B,2500
Q2 97,22B,2500
Q2 97,22B,2500
Q2 97,22B,2500
Q3 97,22B,350
Q3 97,22B,350
Q3 97,22B,2030
Q3 97,22B,1470
Q3 97,22B,910
Q3 97,22B,350
Q3 97,22B,350
Q3 97,22B,350
Q3 97,22B,2500
Q3 97,22B,2105
Q3 97,22B,2500
Q3 97,22B,2500
Q3 97,22B,2500
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q4 97,22B,2500.0
Q1 98,22B,2500
Q1 98,22B,2500
Q1 98,22B,2500
Q1 98,22B,2095
Q1 98,22B,1535
Q1 98,22B,980
Q1 98,22B,910
Q1 98,22B,350
Q1 98,22B,2500
Q1 98,22B,2500
Q1 98,22B,2500
Q1 98,22B,2500
Q1 98,22B,2500
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q2 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q3 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q4 98,22B,2500.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q1 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q2 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q3 99,22B,4000.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q4 99,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q1 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q2 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q3 00,22B,2500.0
Q4 00,22B,2500.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q4 00,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q1 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q2 01,22B,4000.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q3 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q4 01,22B,2500.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q1 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q2 02,22B,4000.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q3 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q4 02,22B,2500.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q1 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q2 03,22B,4000.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q3 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q4 03,22B,2500.0
Q3 95,23C,1882.0
Q3 95,23C,1533.0
Q3 95,23C,1083.0
Q3 95,23C,1383.0
Q3 95,23C,1291.0
Q3 95,23C,2402.0
Q3 95,23C,3477.0
Q3 95,23C,3277.0
Q3 95,23C,3521.0
Q3 95,23C,3153.0
Q3 95,23C,2503.0
Q3 95,23C,2754.0
Q3 95,23C,5437.0
Q4 95,23C,6450.0
Q4 95,23C,7250.0
Q4 95,23C,6935.0
Q4 95,23C,7660.0
Q4 95,23C,7368.0
Q4 95,23C,6819.0
Q4 95,23C,8151.0
Q4 95,23C,8350.0
Q4 95,23C,7790.0
Q4 95,23C,8350.0
Q4 95,23C,5200.0
Q4 95,23C,5760.0
Q4 95,23C,6320.0
Q1 96,23C,4430.0
Q1 96,23C,4990.0
Q1 96,23C,5550.0
Q1 96,23C,6110.0
Q1 96,23C,6670.0
Q1 96,23C,7230.0
Q1 96,23C,6125.0
Q1 96,23C,6675.0
Q1 96,23C,3700.0
Q1 96,23C,3700.0
Q1 96,23C,3700.0
Q1 96,23C,3700.0
Q1 96,23C,3700.0
Q2 96,23C,7150.0
Q2 96,23C,7150.0
Q2 96,23C,6030.0
Q2 96,23C,6590.0
Q2 96,23C,7150.0
Q2 96,23C,7150.0
Q2 96,23C,7150.0
Q2 96,23C,7150.0
Q2 96,23C,5195.0
Q2 96,23C,5755.0
Q2 96,23C,3500.0
Q2 96,23C,3505.0
Q2 96,23C,4060.0
Q3 96,23C,5000.0
Q3 96,23C,5000.0
Q3 96,23C,5000.0
Q3 96,23C,5000.0
Q3 96,23C,5000.0
Q3 96,23C,4800.0
Q3 96,23C,4800.0
Q3 96,23C,4800.0
Q3 96,23C,4660.0
Q3 96,23C,4110.0
Q3 96,23C,4005.0
Q3 96,23C,3360.0
Q3 96,23C,2855.0
Q4 96,23C,2305.0
Q4 96,23C,1760.0
Q4 96,23C,1245.0
Q4 96,23C,1197.0
Q4 96,23C,1117.0
Q4 96,23C,570.0
Q4 96,23C,500.0
Q4 96,23C,500.0
Q4 96,23C,500.0
Q4 96,23C,500.0
Q4 96,23C,500.0
Q4 96,23C,500.0
Q4 96,23C,500.0
Q4 96,23C,500.0
Q1 97,23C,500.0
Q1 97,23C,1060.0
Q1 97,23C,835.0
Q1 97,23C,1395.0
Q1 97,23C,1955.0
Q1 97,23C,2515.0
Q1 97,23C,2090.0
Q1 97,23C,2650.0
Q1 97,23C,500.0
Q1 97,23C,500.0
Q1 97,23C,500.0
Q1 97,23C,500.0
Q1 97,23C,500.0
Q2 97,23C,1605.0
Q2 97,23C,2155.0
Q2 97,23C,970.0
Q2 97,23C,1530.0
Q2 97,23C,2090.0
Q2 97,23C,2650.0
Q2 97,23C,2090.0
Q2 97,23C,2650.0
Q2 97,23C,500.0
Q2 97,23C,500.0
Q2 97,23C,500.0
Q2 97,23C,500.0
Q2 97,23C,500.0
Q3 97,23C,2650.0
Q3 97,23C,2650.0
Q3 97,23C,970.0
Q3 97,23C,1530.0
Q3 97,23C,2090.0
Q3 97,23C,2650.0
Q3 97,23C,2650.0
Q3 97,23C,2650.0
Q3 97,23C,500.0
Q3 97,23C,895.0
Q3 97,23C,500.0
Q3 97,23C,500.0
Q3 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q4 97,23C,500.0
Q1 98,23C,500.0
